127.0.0.1 - - [03/Mar/2023:11:22:19 +0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [03/Mar/2023:11:22:21 +0700] "GET /Test/index.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Mar/2023:11:22:21 +0700] "GET /Test/home;jsessionid=0E0CBFADA1D2A1F23AFCAA18756D3ABC HTTP/1.1" 500 3682
0:0:0:0:0:0:0:1 - - [03/Mar/2023:11:22:23 +0700] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [03/Mar/2023:11:23:44 +0700] "GET /Test/index.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Mar/2023:11:23:44 +0700] "GET /Test/home HTTP/1.1" 500 3844
0:0:0:0:0:0:0:1 - - [03/Mar/2023:11:24:34 +0700] "GET /Test/index.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Mar/2023:11:24:34 +0700] "GET /Test/home HTTP/1.1" 500 3836
0:0:0:0:0:0:0:1 - - [03/Mar/2023:11:25:20 +0700] "GET /Test/index.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Mar/2023:11:25:21 +0700] "GET /Test/home HTTP/1.1" 500 3825
