127.0.0.1 - - [26/Feb/2023:11:20:08 +0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [26/Feb/2023:11:20:10 +0700] "GET /MyWeb/view/home.jsp HTTP/1.1" 200 6526
0:0:0:0:0:0:0:1 - - [26/Feb/2023:11:20:11 +0700] "GET /MyWeb/view/image/slider/Design.png HTTP/1.1" 404 801
0:0:0:0:0:0:0:1 - - [26/Feb/2023:11:20:11 +0700] "GET /MyWeb/view/image/galaxy.png HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [26/Feb/2023:11:20:11 +0700] "GET /MyWeb/view/image/slider/Design1.png HTTP/1.1" 404 802
0:0:0:0:0:0:0:1 - - [26/Feb/2023:11:20:11 +0700] "GET /MyWeb/view/image/slider/Design2.png HTTP/1.1" 404 802
0:0:0:0:0:0:0:1 - - [26/Feb/2023:11:20:11 +0700] "GET /MyWeb/view/image/product/1.png HTTP/1.1" 404 797
0:0:0:0:0:0:0:1 - - [26/Feb/2023:11:26:17 +0700] "GET /MyWeb/view/home.jsp HTTP/1.1" 200 8968
0:0:0:0:0:0:0:1 - - [26/Feb/2023:11:26:17 +0700] "GET /MyWeb/view/image/galaxy.png HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [26/Feb/2023:11:26:17 +0700] "GET /MyWeb/view/image/slider/Design.png HTTP/1.1" 404 801
0:0:0:0:0:0:0:1 - - [26/Feb/2023:11:26:17 +0700] "GET /MyWeb/view/image/slider/Design2.png HTTP/1.1" 404 802
0:0:0:0:0:0:0:1 - - [26/Feb/2023:11:26:17 +0700] "GET /MyWeb/view/image/product/1.png HTTP/1.1" 404 797
0:0:0:0:0:0:0:1 - - [26/Feb/2023:11:26:17 +0700] "GET /MyWeb/view/image/slider/Design1.png HTTP/1.1" 404 802
0:0:0:0:0:0:0:1 - - [26/Feb/2023:11:26:54 +0700] "GET /MyWeb/view/home.jsp HTTP/1.1" 200 8884
0:0:0:0:0:0:0:1 - - [26/Feb/2023:11:26:54 +0700] "GET /MyWeb/view/image/galaxy.png HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [26/Feb/2023:11:26:54 +0700] "GET /MyWeb/view/image/slider/Design.png HTTP/1.1" 404 801
0:0:0:0:0:0:0:1 - - [26/Feb/2023:11:26:54 +0700] "GET /MyWeb/view/image/slider/Design1.png HTTP/1.1" 404 802
0:0:0:0:0:0:0:1 - - [26/Feb/2023:11:26:54 +0700] "GET /MyWeb/view/image/slider/Design2.png HTTP/1.1" 404 802
0:0:0:0:0:0:0:1 - - [26/Feb/2023:11:26:54 +0700] "GET /MyWeb/view/image/product/1.png HTTP/1.1" 404 797
